item,witch,itemLabel,place_of_detentionLabel,place_of_detention_coordinate,genderLabel,occupationLabel,chargeLabel,classLabel,ethnicLabel,mdeathLabel,cdeathLabel,deathlocLabel,detainLabel
http://www.wikidata.org/entity/Q43392443,A/EGD/826,Margaret Stewart,Dunkeld,Point(-3.586 56.5661),female,,,,,,,,Dunkeld
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Montrose,Point(-2.467 56.708),female,,,middling,,,,,Montrose
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Anstruther,Point(-2.70274 56.2234),female,,,middling,,,,,Montrose
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Forfar,Point(-2.89 56.643055555),female,,,middling,,,,,Montrose
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Montrose,Point(-2.467 56.708),female,,,middling,,,,,Anstruther
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Anstruther,Point(-2.70274 56.2234),female,,,middling,,,,,Anstruther
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Forfar,Point(-2.89 56.643055555),female,,,middling,,,,,Anstruther
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Montrose,Point(-2.467 56.708),female,,,middling,,,,,Forfar
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Anstruther,Point(-2.70274 56.2234),female,,,middling,,,,,Forfar
http://www.wikidata.org/entity/Q43393484,A/EGD/1549,Margaret Guthrie,Forfar,Point(-2.89 56.643055555),female,,,middling,,,,,Forfar
http://www.wikidata.org/entity/Q43393692,A/EGD/1649,Mary McFinley Vic Comes,Comar,Point(-4.770844 57.341849),female,,,,,,,,Comar
http://www.wikidata.org/entity/Q43393709,A/EGD/1656,Mary Dollour,Comar,Point(-4.770844 57.341849),female,,,,,,,,Comar
http://www.wikidata.org/entity/Q43393711,A/EGD/1785,Margaret Hendirsoun,Edinburgh,Point(-3.189166666 55.953333333),female,,,nobility,,,,,Edinburgh
http://www.wikidata.org/entity/Q43393737,A/EGD/1801,Agneis Kirkland,Tyninghame,Point(-2.62638889 56.00277778),female,,,,,capital punishment,,Haddington,Tyninghame
http://www.wikidata.org/entity/Q43393824,A/EGD/1703,Issobell Key,St Andrews,Point(-2.798888888 56.338888888),female,,,,,,,,St Andrews
http://www.wikidata.org/entity/Q43393930,A/EGD/1762,John Reid,Paisley,Point(-4.423888888 55.845555555),male,metalsmith,,middling,,,,,Paisley
http://www.wikidata.org/entity/Q43393930,A/EGD/1762,John Reid,Renfrew,Point(-4.366666666 55.866666666),male,metalsmith,,middling,,,,,Paisley
http://www.wikidata.org/entity/Q43393930,A/EGD/1762,John Reid,Paisley,Point(-4.423888888 55.845555555),male,metalsmith,,middling,,,,,Renfrew
http://www.wikidata.org/entity/Q43393930,A/EGD/1762,John Reid,Renfrew,Point(-4.366666666 55.866666666),male,metalsmith,,middling,,,,,Renfrew
http://www.wikidata.org/entity/Q43394075,A/EGD/2117,Andro Man,Aberdeen,Point(-2.1 57.15),male,,,,,,,,Aberdeen
http://www.wikidata.org/entity/Q43394076,A/EGD/2119,Jonat Leisk,Aberdeen,Point(-2.1 57.15),female,,,middling,,,,,Aberdeen
http://www.wikidata.org/entity/Q43394168,A/EGD/2207,Janet Durie,Wemyss,Point(-3.069636918 56.16563481),female,,,,,,,,Wemyss
http://www.wikidata.org/entity/Q43394278,A/EGD/2273,Helen Thomson,North Queensferry,Point(-3.394166666 56.011111111),female,,,,,capital punishment,,,North Queensferry
http://www.wikidata.org/entity/Q43394355,A/EGD/2304,Margaret Bell,Corstorphine,Point(-3.28544 55.9429),female,,,,,capital punishment,,Corstorphine,Corstorphine
http://www.wikidata.org/entity/Q43394399,A/EGD/2313,Jonet Loudoun,Renfrew,Point(-4.366666666 55.866666666),female,,,,,,,,Renfrew
http://www.wikidata.org/entity/Q43394566,A/EGD/2385,M'huistan,Thurso,Point(-3.521111111 58.596111111),,,,,,,,,Thurso
http://www.wikidata.org/entity/Q43394868,A/EGD/300,Marion Angus,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43394868,A/EGD/300,Marion Angus,Dunbar,Point(-2.522777777 55.998333333),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43394868,A/EGD/300,Marion Angus,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Dunbar
http://www.wikidata.org/entity/Q43394868,A/EGD/300,Marion Angus,Dunbar,Point(-2.522777777 55.998333333),female,,,,,,,,Dunbar
http://www.wikidata.org/entity/Q43394919,A/EGD/352,Jean Brown,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43394932,A/EGD/367,Marion Greinlaw,Musselburgh,Point(-3.054166666 55.941944444),female,,,,,,,,Musselburgh
http://www.wikidata.org/entity/Q43394938,A/EGD/372,Christiane Wilsone,Dalkeith,Point(-3.068332 55.893642),female,,,,,capital punishment,,Dalkeith,Dalkeith
http://www.wikidata.org/entity/Q43394938,A/EGD/372,Christiane Wilsone,Niddrie,Point(-3.11444 55.9319),female,,,,,capital punishment,,Dalkeith,Dalkeith
http://www.wikidata.org/entity/Q43394938,A/EGD/372,Christiane Wilsone,Dalkeith,Point(-3.068332 55.893642),female,,,,,capital punishment,,Dalkeith,Niddrie
http://www.wikidata.org/entity/Q43394938,A/EGD/372,Christiane Wilsone,Niddrie,Point(-3.11444 55.9319),female,,,,,capital punishment,,Dalkeith,Niddrie
http://www.wikidata.org/entity/Q43395110,A/EGD/602,Margaret Douglas,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,capital punishment,,Gallow Lea,Edinburgh
http://www.wikidata.org/entity/Q43395280,A/EGD/847,Janet Campbell,Perth,Point(-3.433333333 56.395833333),female,,,,,,,,Perth
http://www.wikidata.org/entity/Q43395301,A/EGD/876,John Stewart,Irvine,Point(-4.661111111 55.619444444),male,vagrant,,vagrant,,,,,Irvine
http://www.wikidata.org/entity/Q43395308,A/EGD/881,Margaret Kennedy,Linlithgow,Point(-3.610555555 55.975277777),female,,,,,,,,Linlithgow
http://www.wikidata.org/entity/Q43395319,A/EGD/891,Christiane Couper,Culross,Point(-3.6293 56.0554),female,,,,,,,,Culross
http://www.wikidata.org/entity/Q43390204,A/EGD/1278,Agnes Stoddart,Perth,Point(-3.433333333 56.395833333),female,,,,,capital punishment,,,Perth
