Wikidata Page,Name,Residence,Gender,Occupation,Long,Lat
http://www.wikidata.org/entity/Q43912033,David Cowie,Prestonpans,Male,Drysalter,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43913608,Archibald Reid,Bo'ness,Male,Dyer,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43911179,David Morrison,Alloa,Male,Elder,-3.8 ,56.116666666
http://www.wikidata.org/entity/Q43911790,David Samuel,Kirkliston,Male,Elder,-3.4 ,55.95
http://www.wikidata.org/entity/Q43911496,Hector Woods,Prestonpans,Male,Elder,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43916167,James Stratton,Eyemouth,Male,Elder,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43911492,John Clerk,Prestonpans,Male,Elder,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43912354,John Hardie,Livingston,Male,Elder,-3.5157 ,55.8834
http://www.wikidata.org/entity/Q43911196,John Kerrie,Alloa,Male,Elder,-3.8 ,56.116666666
http://www.wikidata.org/entity/Q43911109,John Pottinger,Orkney Islands,Male,Elder,-3.0 ,59.0
http://www.wikidata.org/entity/Q43913479,John Scott,Dysart,Male,Elder,-3.1254 ,56.1256
http://www.wikidata.org/entity/Q43911298,John Tunn,Balmain,Male,Elder,-2.5773 ,56.8422
http://www.wikidata.org/entity/Q43911755,Patrick Findlay,Newburgh,Male,Elder,-3.2383 ,56.3517
http://www.wikidata.org/entity/Q43911120,Patrick Smith,Braco,Male,Elder,-3.8801 ,56.2636
http://www.wikidata.org/entity/Q43913873,Richard Trimble,Tranent,Male,Elder,-2.95417 ,55.9447
http://www.wikidata.org/entity/Q43913409,Robert Cock,Pittenweem,Male,Elder,-2.728611111 ,56.213055555
http://www.wikidata.org/entity/Q43911493,Robert Drummond,Prestonpans,Male,Elder,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43911194,Thomas Mitchell,Alloa,Male,Elder,-3.8 ,56.116666666
http://www.wikidata.org/entity/Q43912357,Thomas Scritoun,"Kirkton, Scottish Borders",Male,Elder,-2.7291 ,55.4166
http://www.wikidata.org/entity/Q43913865,Walter Scott,Haddington,Male,Elder,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43911295,William Reid,Logie Coldstone,Male,Elder,-2.93528 ,57.1267
http://www.wikidata.org/entity/Q43911236,David Kennedy,Pollok,Male,Gardener,-4.3524 ,55.8247
http://www.wikidata.org/entity/Q43915686,Duncan Kendla,Eyemouth,Male,Guard,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43911508,Andrew Rutherford,Prestonpans,Male,Head Teacher,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43913235,James Hunter,Carnwath,Male,Head Teacher,-3.625 ,55.7006
http://www.wikidata.org/entity/Q43913605,John Heisbit,Bo'ness,Male,Head Teacher,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43913738,John Weymss,Fife,Male,Head Teacher,-3.2 ,56.25
http://www.wikidata.org/entity/Q43913473,Patrick Twick,Haddington,Male,Head Teacher,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43913816,Steven Bannatyne,West Barns,Male,Head Teacher,-2.553 ,55.9937
