Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Place of Detainment
http://www.wikidata.org/entity/Q43396214,John Crods,Duns,-2.3426,55.7784,Male,Duns
http://www.wikidata.org/entity/Q43395687,Jon Quhyt,Dysart,-3.12538,56.12557,Male,Dysart
http://www.wikidata.org/entity/Q43395371,Patrik Landrok,Coaltown of Wemyss,-3.089,56.151,Male,Dysart
http://www.wikidata.org/entity/Q43395418,Adam Moffat,Humbie,-2.86735,55.8544,Male,Haddington
http://www.wikidata.org/entity/Q43395415,George Ker,Humbie,-2.86735,55.8544,Male,Haddington
http://www.wikidata.org/entity/Q43391183,Nicoll Stillie,Haddington,-2.78332,55.95612,Male,Haddington
http://www.wikidata.org/entity/Q43393588,Andrew Jonston,Humbie,-2.86735,55.8544,Male,Humbie
http://www.wikidata.org/entity/Q43395431,James Paterson,Humbie,-2.86735,55.8544,Male,Humbie
http://www.wikidata.org/entity/Q43393717,Hectour McClean,Inverness,-4.225833333,57.48388889,Male,Inverness
http://www.wikidata.org/entity/Q43395089,Andrew Laidlay,Roxburgh,-2.4667,55.5667,Male,Jedburgh
http://www.wikidata.org/entity/Q43395588,John Aitkin,Old Pentland,-3.177236,55.88251,Male,Lasswade
http://www.wikidata.org/entity/Q43393458,Jon Grieve,Lauder,-2.74855,55.7194,Male,Lauder
http://www.wikidata.org/entity/Q43395300,Andro Turnbull,Hillhouse,-3.725934,55.912182,Male,Linlithgow
http://www.wikidata.org/entity/Q43395836,William King,Musselburgh,-3.05,55.93333333,Male,Musselburgh
http://www.wikidata.org/entity/Q43396062,Robert Short,Dumfries,-3.616666666,55.06666667,Male,New Galloway
http://www.wikidata.org/entity/Q43391668,William Whyte,North Berwick,-2.717,56.058,Male,North Berwick
http://www.wikidata.org/entity/Q43390686,Gilbert Fidlar,Auchmacoy,-2.009462,57.367176,Male,Old Slains Castle
http://www.wikidata.org/entity/Q43389907,Angus Forrester,Renfrew,-4.366666666,55.86666667,Male,Renfrew
http://www.wikidata.org/entity/Q65464979,John Stewart,Inchinnan,-4.41667,55.8833,Male,Renfrew
http://www.wikidata.org/entity/Q43395958,William Miller,Formakin,-4.545491,55.902521,Male,Renfrew
http://www.wikidata.org/entity/Q43395382,Donald Robinson,Haddington,-2.78332,55.95612,Male,Seton
http://www.wikidata.org/entity/Q43393889,John Gray,Stirling,-3.9369,56.1166,Male,Stirling
http://www.wikidata.org/entity/Q43393895,Thomas Mitchell,Stirling,-3.9369,56.1166,Male,Stirling
http://www.wikidata.org/entity/Q43395580,More Roy,Moidart,-5.696,56.82,,Castle Tioram
http://www.wikidata.org/entity/Q43393704,Gormyle Grant,Inverness,-4.225833333,57.48388889,,Comar
http://www.wikidata.org/entity/Q43395281,Robertson,Perth,-3.431666666,56.39527778,,Perth
http://www.wikidata.org/entity/Q43394566,M'huistan,Thurso,-3.521111111,58.59611111,,Thurso
