Wikidata Page,Name,Residence,Gender,Long,Lat
http://www.wikidata.org/entity/Q43915373,John Steven,Dalkeith,Male,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43911241,John Stevenson,Pollok,Male,-4.3524 ,55.8247
http://www.wikidata.org/entity/Q43912914,John Turnbull,"Minto, Scottish Borders",Male,-2.6872 ,55.4739
http://www.wikidata.org/entity/Q43911228,John Wallace,Pollok,Male,-4.3524 ,55.8247
http://www.wikidata.org/entity/Q43915369,John Watson,Dalkeith,Male,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43911323,John Wauchope,"Niddrie, Edinburgh",Male,-3.11444 ,55.9319
http://www.wikidata.org/entity/Q43912201,John Wedderburn,"Blackness, Falkirk",Male,-3.522011111 ,56.003652777
http://www.wikidata.org/entity/Q43914040,John Weir,Auldearn,Male,-3.81595 ,57.5765
http://www.wikidata.org/entity/Q43916177,John Wilke,Berwick-upon-Tweed,Male,-2.0 ,55.7667
http://www.wikidata.org/entity/Q43912835,John Williamson,Abernethy,Male,-3.310927777 ,56.326491666
http://www.wikidata.org/entity/Q43915153,"Johnne, Erskine",Coaltown of Balgonie,Male,-3.133129 ,56.183553
http://www.wikidata.org/entity/Q43914314,Johnstone George,Johnstone,Male,-4.5 ,55.833333333
http://www.wikidata.org/entity/Q43913030,Joseph Hart,Chapel,Male,-2.376 ,55.809
http://www.wikidata.org/entity/Q43911668,Lachlan MacIntosh,Dunachton,Male,-3.950359 ,57.118044
http://www.wikidata.org/entity/Q43914551,Lawrence Scott,Clerkington,Male,-2.791277 ,55.944189
http://www.wikidata.org/entity/Q43915280,M Mackaile,Liberton,Male,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43913252,MacCulloch,Ardwell,Male,-4.941 ,54.771
http://www.wikidata.org/entity/Q43913570,Malcolm Greive,Keith,Male,-2.9555 ,57.5428
http://www.wikidata.org/entity/Q43914860,Margaret Stewart,Dunkeld,Male,-3.583333333 ,56.558333333
http://www.wikidata.org/entity/Q43914889,Mark Boswell,Crichton,Male,-2.98249 ,55.8471
http://www.wikidata.org/entity/Q43912505,Mark Casse,Cockpen,Male,-3.089 ,55.8618
http://www.wikidata.org/entity/Q43913898,Mark Home,Chirnside,Male,-2.209 ,55.8021
http://www.wikidata.org/entity/Q43914863,Marshall,Dunkeld,Male,-3.583333333 ,56.558333333
http://www.wikidata.org/entity/Q43915314,Mathew Lawrne,Dalkeith,Male,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43913961,Maxwell,Dalswinton,Male,-3.66667 ,55.15
http://www.wikidata.org/entity/Q43914495,Michael Deiver,"Kirkton, Scottish Borders",Male,-2.7291 ,55.4166
http://www.wikidata.org/entity/Q43912409,Mitchell Balfour,Pitmedden,Male,-2.18 ,57.337
http://www.wikidata.org/entity/Q43912455,Mungo Murray,Caerlaverock,Male,-3.5256 ,54.977
http://www.wikidata.org/entity/Q43912321,Nicoll Rutherford,Hundalee,Male,-2.56034 ,55.4615
http://www.wikidata.org/entity/Q43911675,Ninian Bannatyne,"Kames, Argyll",Male,-5.24306 ,55.8919
http://www.wikidata.org/entity/Q43911505,Ninian Henderson,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43911518,Ninian Reid,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43910587,Patrick Begbie,Bolton,Male,-2.79042 ,55.9205
http://www.wikidata.org/entity/Q43912788,Patrick Boig,Burnhouse,Male,-4.57633 ,55.7194
http://www.wikidata.org/entity/Q43910845,Patrick Dausone,Haddington,Male,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43910559,Patrick Don,Kelso,Male,-2.416666666 ,55.583333333
http://www.wikidata.org/entity/Q43911274,Patrick Gordon,Kincraig,Male,-3.9341 ,57.1283
http://www.wikidata.org/entity/Q43912633,Patrick Hamilton,"Preston, East Lothian",Male,-2.979 ,55.9547
http://www.wikidata.org/entity/Q43915266,Patrick Heriot,Liberton,Male,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43912163,Patrick Home,"Polwarth, Scottish Borders",Male,-2.40775 ,55.7445
http://www.wikidata.org/entity/Q43912104,Patrick Houstoun,Houston,Male,-4.552069444 ,55.866969444
http://www.wikidata.org/entity/Q43911553,Patrick Inglis,Elvingston,Male,-2.86421 ,55.9594
http://www.wikidata.org/entity/Q43913792,Patrick Learmouth,Dairsie,Male,-2.94578 ,56.3468
http://www.wikidata.org/entity/Q43912276,Patrick Murray,Kincraig,Male,-3.9341 ,57.1283
http://www.wikidata.org/entity/Q43915119,Patrick Thomson,Duddingston,Male,-3.14673 ,55.9416
http://www.wikidata.org/entity/Q43912196,Patrick Zeaman,Dryburgh,Male,-2.65 ,55.579
http://www.wikidata.org/entity/Q43912260,Philip Anstruther,Anstruther,Male,-2.70274 ,56.2234
http://www.wikidata.org/entity/Q43913576,Richard Dalgleish,"Woodhead, Aberdeenshire",Male,-2.35 ,57.436
http://www.wikidata.org/entity/Q43913594,Richard Dalling,Bo'ness,Male,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43914611,Richard Douglas,"Linton, Scottish Borders",Male,-2.3588 ,55.5304
http://www.wikidata.org/entity/Q43912052,Richard Elphinstone,Airth,Male,-3.776 ,56.067
http://www.wikidata.org/entity/Q43910596,Richard Mathie,Bolton,Male,-2.79042 ,55.9205
http://www.wikidata.org/entity/Q43913882,Richard Turnbull,Haddington,Male,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43913770,Richard Waddell,Stenton,Male,-2.6 ,55.95
http://www.wikidata.org/entity/Q43915144,Robert Acheson,"Niddrie, Edinburgh",Male,-3.11444 ,55.9319
http://www.wikidata.org/entity/Q43910572,Robert Alexander,Renfrew,Male,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43914865,Robert Boyd,Dunkeld,Male,-3.583333333 ,56.558333333
http://www.wikidata.org/entity/Q43913759,Robert Burnie,Clackmannan,Male,-3.74652 ,56.1091
http://www.wikidata.org/entity/Q43914236,Robert Cairns,Pencaitland,Male,-2.89098 ,55.91
http://www.wikidata.org/entity/Q43914207,Robert Cuthbertson,Bo'ness,Male,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43912453,Robert Darleith,Dunbar,Male,-2.522777777 ,55.998333333
http://www.wikidata.org/entity/Q43914389,Robert Derner,Inveresk,Male,-3.0468 ,55.9366
http://www.wikidata.org/entity/Q43915261,Robert Donham,Liberton,Male,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43915378,Robert Dunlop,Dalkeith,Male,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43916211,Robert Ged,Fife,Male,-3.2 ,56.25
http://www.wikidata.org/entity/Q43915825,Robert Grahame,Mill of Morphie,Male,-2.4706 ,56.7563
http://www.wikidata.org/entity/Q43914105,Robert Gray,Creich,Male,-3.08893 ,56.3787
http://www.wikidata.org/entity/Q43914364,Robert Hart,St Johns,Male,-2.1033 ,55.8107
http://www.wikidata.org/entity/Q43912071,Robert Hepburn,Keith,Male,-2.9555 ,57.5428
http://www.wikidata.org/entity/Q43913765,Robert Home,Haddington,Male,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43914436,Robert Hunter,Polmood,Male,-3.4 ,55.5333
http://www.wikidata.org/entity/Q43915259,Robert Law,Liberton,Male,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43915013,Robert Logie,South Queensferry,Male,-3.4 ,55.9875
http://www.wikidata.org/entity/Q43913527,Robert Menteith,Orkney Islands,Male,-3.0 ,59.0
http://www.wikidata.org/entity/Q43912746,Robert Montgomery,"Hazlehead, Aberdeen",Male,-2.17929 ,57.14254
http://www.wikidata.org/entity/Q43911664,Robert Munro,Fowlis,Male,-3.104455 ,56.487736
http://www.wikidata.org/entity/Q43915228,Robert Parker,Edinburgh,Male,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43915965,Robert Peldane,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43915318,Robert Porteous,Newbattle,Male,-3.0775 ,55.8817
http://www.wikidata.org/entity/Q43912488,Robert Preston,"Preston, East Lothian",Male,-2.979 ,55.9547
http://www.wikidata.org/entity/Q43910554,Robert Pringle,Clifton,Male,-2.29383 ,55.529429
http://www.wikidata.org/entity/Q43910574,Robert Sempill,Renfrew,Male,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43913202,Robert Stratton,Straiton,Male,-4.5515 ,55.3114
http://www.wikidata.org/entity/Q43911189,Robert Wright,Clackmannan,Male,-3.74652 ,56.1091
http://www.wikidata.org/entity/Q43912177,Ronald MacDonald,Benbecula,Male,-7.31964 ,57.4458
http://www.wikidata.org/entity/Q43915267,Ronald Ritchison,Liberton,Male,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43912897,Rory MacKenzie,"Kilmuir, Black Isle",Male,-4.2219 ,57.5182
http://www.wikidata.org/entity/Q43914594,Rory McKenzie,Kintail,Male,-5.3522 ,57.2058
http://www.wikidata.org/entity/Q43916164,Samuel Douglas,Eyemouth,Male,-2.090555555 ,55.869444444
