Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Social Classification
http://www.wikidata.org/entity/Q43395287,Helen Erskine,Wester Logie,-3.45421,56.60015,Female,Upper Class
http://www.wikidata.org/entity/Q43390083,Margaret Maxwell,Ae Bridgend,-3.55403,55.1656,Female,Upper Class
http://www.wikidata.org/entity/Q43390083,Margaret Maxwell,Maxwelltown,-3.62224,55.06674,Female,Upper Class
http://www.wikidata.org/entity/Q43392198,Jean Thomesone,Maxwelltown,-3.62224,55.06674,Female,Upper Class
http://www.wikidata.org/entity/Q43392563,Alesoun Chapman,Dalkeith,-3.068332,55.893642,Female,Vagrant
http://www.wikidata.org/entity/Q43392565,Christian Tailyour,Dalkeith,-3.068332,55.893642,Female,Vagrant
http://www.wikidata.org/entity/Q43395199,Margaret Alexander,Paisley,-4.433333333,55.85,Female,Vagrant
http://www.wikidata.org/entity/Q43390145,Janet Richardson,Cousland,-2.995274,55.904962,Female,Working Poor
http://www.wikidata.org/entity/Q43395830,Nesbitt,Bothwell,-4.06622,55.8023,Male,Working Poor
http://www.wikidata.org/entity/Q43395965,Helen Thompson,Greenock,-4.766666666,55.95,Female,Working Poor
http://www.wikidata.org/entity/Q43392191,Margaret Haistie,Wellgate,-3.777966,55.672463,Female,Working Poor
http://www.wikidata.org/entity/Q43393612,Bessie Scott,Corstorphine,-3.28544,55.9429,Female,Working Poor
http://www.wikidata.org/entity/Q43391239,Jonet Lowrie,Haddington,-2.78332,55.95612,Female,Working Poor
http://www.wikidata.org/entity/Q43391540,Jonet Listar,Dunbar,-2.522777777,55.99833333,Female,Working Poor
http://www.wikidata.org/entity/Q43390986,Marjorie Fairwell,Duddingston,-3.14673,55.9416,Female,Working Poor
http://www.wikidata.org/entity/Q43391554,Katherine Hammiltoune,Dunbar,-2.522777777,55.99833333,Female,Working Poor
http://www.wikidata.org/entity/Q43391660,Agnes Dungalson,Dumfries,-3.616666666,55.06666667,Female,Working Poor
http://www.wikidata.org/entity/Q43390535,Katharein Cowpland,Sammuelston,-2.825545,55.92742,Female,Working Poor
http://www.wikidata.org/entity/Q43391879,Agnes Supp,Port Glasgow,-4.69,55.94,Female,Working Poor
http://www.wikidata.org/entity/Q43395928,Jonet Cunninghame,Canongate,-3.1793,55.9517,Female,Working Poor
http://www.wikidata.org/entity/Q43390132,Marion Bankes,Cousland,-2.995274,55.904962,Female,Working Poor
http://www.wikidata.org/entity/Q43390150,Agnes Phenick,Cousland,-2.995274,55.904962,Female,Working Poor
http://www.wikidata.org/entity/Q43390136,Marioun Andersoun,Cousland,-2.995274,55.904962,Female,Working Poor
http://www.wikidata.org/entity/Q43391579,Jonet Maglene,Haddington,-2.78332,55.95612,Female,Working Poor
http://www.wikidata.org/entity/Q43392429,Jean Woodrow,Bridgend,-4.646821,55.884766,Female,Working Poor
